quantile,param,coef,lower_ci,upper_ci,p_value
0.1,alpha,0.006667266881137127,0.006482916993363196,0.006851616768911057,0.0
0.1,beta1_up,0.09102955876026123,0.05447725504152013,0.12758186247900233,1.101432093120602e-06
0.1,beta1_dn,0.13539368732292067,0.10776034645910328,0.1630270281867381,1.5692499461819248e-21
0.1,beta2_up,2.527536396402732,1.443844875929294,3.61122791687617,5.0065104857726195e-06
0.1,beta2_dn,1.2316753062008914,0.7882261748376347,1.675124437564148,5.585811501962334e-08
0.25,alpha,0.007653756042071623,0.007490980540281806,0.007816531543861442,0.0
0.25,beta1_up,0.11020792789143938,0.08242124247349172,0.13799461330938703,1.0289414443350175e-14
0.25,beta1_dn,0.18153346756244118,0.15811473956770472,0.20495219555717764,3.1012976864693447e-50
0.25,beta2_up,2.4417107379319494,1.799221049153009,3.08420042671089,1.2129483355591138e-13
0.25,beta2_dn,0.7321045892692034,0.41951931360375755,1.0446898649346492,4.571729396375186e-06
0.5,alpha,0.008920843280895647,0.008736479874633772,0.009105206687157521,0.0
0.5,beta1_up,0.1571213015174071,0.12735270529842502,0.1868898977363892,1.1420980472646163e-24
0.5,beta1_dn,0.2242115404079108,0.19778859964796172,0.25063448116785986,2.081142302278732e-59
0.5,beta2_up,2.130972706848128,1.5515243742908122,2.7104210394054435,7.077465532481095e-13
0.5,beta2_dn,0.6795816238278276,0.30954236026604626,1.049620887389609,0.0003223570406749773
0.75,alpha,0.01052204846381857,0.010254868853152811,0.010789228074484328,0.0
0.75,beta1_up,0.2124343305250973,0.17048257018645227,0.2543860908637423,7.260343121926503e-23
0.75,beta1_dn,0.2992488905118793,0.2628421683605279,0.33565561266323074,5.262242617974397e-56
0.75,beta2_up,1.6653282585416629,1.0296259010573596,2.301030616025966,2.984909432304521e-07
0.75,beta2_dn,0.6284122093207244,0.17054397411845523,1.0862804445229934,0.007162294827873816
0.9,alpha,0.012753566026837066,0.012281127995680746,0.013226004057993387,0.0
0.9,beta1_up,0.2158834462449958,0.141263222070366,0.2905036704196256,1.5456389509617592e-08
0.9,beta1_dn,0.3125721397138969,0.2511663044154954,0.3739779750122984,4.382798458688788e-23
0.9,beta2_up,4.229931699268315,3.291060455792424,5.168802942744206,1.7254767456539794e-18
0.9,beta2_dn,3.2123357805057684,2.509711363664278,3.9149601973472588,5.4946202577413e-19
