Date,DFF,SOFR,SONIA,T10Y2Y
2015-01-01,0.06,,,
2015-01-02,0.12,,0.4316,1.46
2015-01-03,0.12,,0.4316,1.46
2015-01-04,0.12,,0.4316,1.46
2015-01-05,0.12,,0.4335,1.36
2015-01-06,0.12,,0.43,1.32
2015-01-07,0.12,,0.4292,1.34
2015-01-08,0.12,,0.4339,1.41
2015-01-09,0.12,,0.4327,1.39
2015-01-10,0.12,,0.4327,1.39
2015-01-11,0.12,,0.4327,1.39
2015-01-12,0.12,,0.4352,1.36
2015-01-13,0.12,,0.4348,1.37
2015-01-14,0.12,,0.4334,1.35
2015-01-15,0.12,,0.4384,1.33
2015-01-16,0.13,,0.4372,1.34
2015-01-17,0.13,,0.4372,1.34
2015-01-18,0.13,,0.4372,1.34
2015-01-19,0.13,,0.4422,1.34
2015-01-20,0.12,,0.4338,1.29
2015-01-21,0.12,,0.4366,1.34
2015-01-22,0.12,,0.4325,1.37
2015-01-23,0.12,,0.4461,1.29
2015-01-24,0.12,,0.4461,1.29
2015-01-25,0.12,,0.4461,1.29
2015-01-26,0.12,,0.4443,1.29
2015-01-27,0.11,,0.4322,1.29
2015-01-28,0.12,,0.4474,1.23
2015-01-29,0.11,,0.4407,1.26
2015-01-30,0.06,,0.4195,1.21
2015-01-31,0.06,,0.4195,1.21
2015-02-01,0.06,,0.4195,1.21
2015-02-02,0.12,,0.4443,1.19
2015-02-03,0.12,,0.45,1.27
2015-02-04,0.11,,0.4345,1.29
2015-02-05,0.12,,0.4427,1.31
2015-02-06,0.11,,0.4453,1.3
2015-02-07,0.11,,0.4453,1.3
2015-02-08,0.11,,0.4453,1.3
2015-02-09,0.12,,0.4427,1.31
2015-02-10,0.12,,0.441,1.34
2015-02-11,0.12,,0.4431,1.33
2015-02-12,0.12,,0.4423,1.38
2015-02-13,0.12,,0.4524,1.36
2015-02-14,0.12,,0.4524,1.36
2015-02-15,0.12,,0.4524,1.36
2015-02-16,0.12,,0.4562,1.36
2015-02-17,0.12,,0.4625,1.44
2015-02-18,0.12,,0.4643,1.45
2015-02-19,0.12,,0.4654,1.44
2015-02-20,0.12,,0.4568,1.46
2015-02-21,0.12,,0.4568,1.46
2015-02-22,0.12,,0.4568,1.46
2015-02-23,0.11,,0.4505,1.42
2015-02-24,0.11,,0.4598,1.39
2015-02-25,0.11,,0.4574,1.35
2015-02-26,0.11,,0.4669,1.37
2015-02-27,0.06,,0.4442,1.37
2015-02-28,0.06,,0.4442,1.37
2015-03-01,0.06,,0.4442,1.37
2015-03-02,0.12,,0.4639,1.42
2015-03-03,0.12,,0.4605,1.44
2015-03-04,0.11,,0.4575,1.46
2015-03-05,0.11,,0.4628,1.46
2015-03-06,0.12,,0.4576,1.51
2015-03-07,0.12,,0.4576,1.51
2015-03-08,0.12,,0.4576,1.51
2015-03-09,0.12,,0.4627,1.5
2015-03-10,0.12,,0.4589,1.44
2015-03-11,0.11,,0.4559,1.41
2015-03-12,0.11,,0.4521,1.43
2015-03-13,0.11,,0.4529,1.45
2015-03-14,0.11,,0.4529,1.45
2015-03-15,0.11,,0.4529,1.45
2015-03-16,0.12,,0.4496,1.44
2015-03-17,0.12,,0.452,1.36
2015-03-18,0.11,,0.4607,1.36
2015-03-19,0.12,,0.457,1.35
2015-03-20,0.12,,0.4599,1.33
2015-03-21,0.12,,0.4599,1.33
2015-03-22,0.12,,0.4599,1.33
2015-03-23,0.12,,0.4607,1.32
2015-03-24,0.11,,0.464,1.3
2015-03-25,0.12,,0.4586,1.34
2015-03-26,0.11,,0.4554,1.4
2015-03-27,0.12,,0.4637,1.37
2015-03-28,0.12,,0.4637,1.37
2015-03-29,0.12,,0.4637,1.37
2015-03-30,0.12,,0.4615,1.38
2015-03-31,0.06,,0.4217,1.38
2015-04-01,0.12,,0.4573,1.32
2015-04-02,0.12,,0.4555,1.37
2015-04-03,0.12,,0.4555,1.36
2015-04-04,0.12,,0.4555,1.36
2015-04-05,0.12,,0.4555,1.36
2015-04-06,0.13,,0.4555,1.41
2015-04-07,0.12,,0.4561,1.37
2015-04-08,0.12,,0.4541,1.38
2015-04-09,0.12,,0.4526,1.41
2015-04-10,0.12,,0.4547,1.39
2015-04-11,0.12,,0.4547,1.39
2015-04-12,0.12,,0.4547,1.39
2015-04-13,0.13,,0.4537,1.4
2015-04-14,0.13,,0.4575,1.37
2015-04-15,0.13,,0.4577,1.4
2015-04-16,0.13,,0.4601,1.4
2015-04-17,0.13,,0.4609,1.36
2015-04-18,0.13,,0.4609,1.36
2015-04-19,0.13,,0.4609,1.36
2015-04-20,0.13,,0.4547,1.35
2015-04-21,0.13,,0.4593,1.37
2015-04-22,0.13,,0.459,1.42
2015-04-23,0.13,,0.4585,1.41
2015-04-24,0.13,,0.461,1.39
2015-04-25,0.13,,0.461,1.39
2015-04-26,0.13,,0.461,1.39
2015-04-27,0.13,,0.4651,1.4
2015-04-28,0.13,,0.4566,1.44
2015-04-29,0.13,,0.4608,1.5
2015-04-30,0.08,,0.4529,1.47
2015-05-01,0.13,,0.4623,1.52
2015-05-02,0.13,,0.4623,1.52
2015-05-03,0.13,,0.4623,1.52
2015-05-04,0.13,,0.4623,1.56
2015-05-05,0.13,,0.4655,1.57
2015-05-06,0.13,,0.4632,1.6
2015-05-07,0.13,,0.4611,1.55
2015-05-08,0.13,,0.4621,1.57
2015-05-09,0.13,,0.4621,1.57
2015-05-10,0.13,,0.4621,1.57
2015-05-11,0.13,,0.4583,1.66
2015-05-12,0.13,,0.461,1.67
2015-05-13,0.13,,0.4613,1.68
2015-05-14,0.13,,0.4615,1.67
2015-05-15,0.13,,0.4605,1.59
2015-05-16,0.13,,0.4605,1.59
2015-05-17,0.13,,0.4605,1.59
2015-05-18,0.13,,0.4605,1.65
2015-05-19,0.12,,0.4644,1.64
2015-05-20,0.12,,0.4661,1.66
2015-05-21,0.12,,0.4596,1.59
2015-05-22,0.13,,0.47,1.57
2015-05-23,0.13,,0.47,1.57
2015-05-24,0.13,,0.47,1.57
2015-05-25,0.13,,0.47,1.57
2015-05-26,0.12,,0.4624,1.5
2015-05-27,0.12,,0.4629,1.5
2015-05-28,0.12,,0.4638,1.51
2015-05-29,0.08,,0.4506,1.51
2015-05-30,0.08,,0.4506,1.51
2015-05-31,0.08,,0.4506,1.51
2015-06-01,0.12,,0.4603,1.55
2015-06-02,0.12,,0.4554,1.63
