Date,CSAD,Rm,abs_Rm,Rm_sq,D_up,D_down,N
2015-01-05,0.013523950641531106,-0.02190040447823389,0.02190040447823389,0.00047962771631024695,0,1,36
2015-01-06,0.010526640715476735,-0.002603427447416528,0.002603427447416528,6.777834473961739e-06,0,1,36
2015-01-07,0.009722441442902572,0.0036997267368360284,0.0036997267368360284,1.3687977927259367e-05,1,0,36
2015-01-08,0.008064081455088478,0.028251965110388348,0.028251965110388348,0.0007981735325986005,1,0,36
2015-01-09,0.008474477098921084,-0.013606228548286282,0.013606228548286282,0.00018512945530820064,0,1,36
2015-01-12,0.00947523420105514,0.009149436932384203,0.009149436932384203,8.371219617967606e-05,1,0,36
2015-01-13,0.012821349468124972,0.014575013723690584,0.014575013723690584,0.00021243102504576888,1,0,36
2015-01-14,0.008181612092989203,-0.011029278937490975,0.011029278937490975,0.00012164499388098206,0,1,36
2015-01-15,0.0056456862122421505,0.019967954681451093,0.019967954681451093,0.0003987192141604846,1,0,36
2015-01-16,0.010581577899318597,0.011393226698226221,0.011393226698226221,0.00012980561459717476,1,0,36
2015-01-19,0.008468238311638211,0.008670758006128845,0.008670758006128845,7.518204440084746e-05,1,0,36
2015-01-20,0.007588747990283109,0.0024440079876485573,0.0024440079876485573,5.973175043689951e-06,1,0,36
2015-01-21,0.007090742284911843,0.0033584371759544313,0.0033584371759544313,1.1279100264832776e-05,1,0,36
2015-01-22,0.010461297900082399,0.012817291430899436,0.012817291430899436,0.0001642829596246081,1,0,36
2015-01-23,0.011736571726335264,0.02057377542907277,0.02057377542907277,0.0004232802354059184,1,0,36
2015-01-26,0.009461236938345037,0.011875407373811915,0.011875407373811915,0.0001410253002939864,1,0,36
2015-01-27,0.010201222624490545,-0.015896488565665095,0.015896488565665095,0.00025269834871832113,0,1,36
2015-01-28,0.008464129193125352,0.0070146821128652176,0.0070146821128652176,4.9205765144551234e-05,1,0,36
2015-01-29,0.008785953771529385,0.0007340142758358708,0.0007340142758358708,5.387769571308578e-07,1,0,36
2015-01-30,0.00837039686411084,-0.003440259558616775,0.003440259558616775,1.1835385830654087e-05,0,1,36
2015-02-02,0.00825938433831521,0.008320869655259978,0.008320869655259978,6.92368718198263e-05,1,0,36
2015-02-03,0.014010386740897551,0.0035616190088966155,0.0035616190088966155,1.268512996453371e-05,1,0,36
2015-02-04,0.007139559109315124,0.0049582642726686285,0.0049582642726686285,2.4584384597622166e-05,1,0,36
2015-02-05,0.006552897095200889,0.0005076372592369117,0.0005076372592369117,2.5769558696556347e-07,1,0,36
2015-02-06,0.007053879846248788,-0.00460149664620289,0.00460149664620289,2.1173771385016442e-05,0,1,36
2015-02-09,0.009353281437681634,-0.01636412636493423,0.01636412636493423,0.00026778463168753553,0,1,36
2015-02-10,0.008105934209368547,0.009160625071493915,0.009160625071493915,8.39170517004829e-05,1,0,36
2015-02-11,0.0048967774348295185,0.00016245986374096506,0.00016245986374096506,2.6393207326732934e-08,1,0,36
2015-02-12,0.012442753048398298,0.01639691402745242,0.01639691402745242,0.00026885878962366595,1,0,36
2015-02-13,0.008333066140705923,0.0014518889650042958,0.0014518889650042958,2.1079815667012453e-06,1,0,36
2015-02-16,0.007158331944346184,-0.002811977203505976,0.002811977203505976,7.907215793037291e-06,0,1,36
2015-02-17,0.007937960873354539,-0.002943749477196814,0.002943749477196814,8.665660984496516e-06,0,1,36
2015-02-18,0.009666292951038345,0.0089788378366472,0.0089788378366472,8.061952889680735e-05,1,0,36
2015-02-19,0.01002104411005483,0.008407359366334756,0.008407359366334756,7.068369151469674e-05,1,0,36
2015-02-20,0.007735770499168989,0.004112486555943647,0.004112486555943647,1.691254567281724e-05,1,0,36
2015-02-23,0.006878486896290167,0.0096906916537462,0.0096906916537462,9.390950472798628e-05,1,0,36
2015-02-24,0.00729549378881402,0.004457244331508274,0.004457244331508274,1.986702703076264e-05,1,0,36
2015-02-25,0.01027953442798381,-0.0005624063717123773,0.0005624063717123773,3.1630092694268077e-07,0,1,36
2015-02-26,0.007422753550401028,0.009030256275244744,0.009030256275244744,8.154552839659707e-05,1,0,36
2015-02-27,0.008469103592592016,0.00894969392714962,0.00894969392714962,8.00970213896588e-05,1,0,36
2015-03-02,0.008377268545548738,0.0017469509507827522,0.0017469509507827522,3.051837624440762e-06,1,0,36
2015-03-03,0.007246410059591626,-0.011804724986967306,0.011804724986967306,0.00013935153201793024,0,1,36
2015-03-04,0.0070316409840647486,0.006378651625752723,0.006378651625752723,4.0687196562717856e-05,1,0,36
2015-03-05,0.008954593548565771,0.012897988344802856,0.012897988344802856,0.0001663581033426703,1,0,36
2015-03-06,0.0076906166859339415,0.003910366059423013,0.003910366059423013,1.529096271868746e-05,1,0,36
2015-03-09,0.006419067266582248,0.00011424084514080198,0.00011424084514080198,1.3050970698484699e-08,1,0,36
2015-03-10,0.009858991552586889,-0.006412677434339845,0.006412677434339845,4.112243187689146e-05,0,1,36
2015-03-11,0.011999120410466175,0.020950741975321964,0.020950741975321964,0.00043893358931651764,1,0,36
2015-03-12,0.010641750031666557,0.0016359949691947273,0.0016359949691947273,2.6764795392304566e-06,1,0,36
2015-03-13,0.008047696595358133,0.010547406894530507,0.010547406894530507,0.00011124779219878968,1,0,36
2015-03-16,0.008104526011852952,0.017788150938694142,0.017788150938694142,0.0003164183138177653,1,0,36
2015-03-17,0.007485036025077389,-0.015415506651988764,0.015415506651988764,0.00023763784533750983,0,1,36
2015-03-18,0.011818942395849174,-0.006375558132790982,0.006375558132790982,4.064774150459723e-05,0,1,36
2015-03-19,0.007145300287112101,0.003408321503002718,0.003408321503002718,1.1616655467830705e-05,1,0,36
2015-03-20,0.006641734460563837,0.010037536676579778,0.010037536676579778,0.00010075214253368421,1,0,36
2015-03-23,0.008704436906348279,-0.011117382470663269,0.011117382470663269,0.00012359619299901094,0,1,36
2015-03-24,0.006070806575683003,0.008086250624606524,0.008086250624606524,6.53874491639494e-05,1,0,36
2015-03-25,0.007833601008447731,-0.009920135976268753,0.009920135976268753,9.840909778766161e-05,0,1,36
2015-03-26,0.008298745142583417,-0.0033451902100662704,0.0033451902100662704,1.1190297541523219e-05,0,1,36
2015-03-27,0.006342140342609299,0.003313843296639052,0.003313843296639052,1.0981557394679582e-05,1,0,36
2015-03-30,0.00703031648839007,0.015803372947556057,0.015803372947556057,0.0002497465965195466,1,0,36
2015-03-31,0.006084308858378008,-0.007798671829935837,0.007798671829935837,6.081928231103478e-05,0,1,36
2015-04-01,0.006028671872440447,0.0033527510036910524,0.0033527510036910524,1.1240939292751359e-05,1,0,36
2015-04-02,0.004870139395638553,-0.0006694879935168385,0.0006694879935168385,4.482141734632024e-07,0,1,36
2015-04-07,0.007845749277934282,0.012037006719146778,0.012037006719146778,0.00014488953075678467,1,0,36
2015-04-08,0.0054136029096894765,-0.003828978428752552,0.003828978428752552,1.4661075807852362e-05,0,1,36
2015-04-09,0.0064851783782820215,0.011600479114031809,0.011600479114031809,0.0001345711156750882,1,0,36
2015-04-10,0.006762590954018967,0.015640822362127514,0.015640822362127514,0.0002446353241636281,1,0,36
2015-04-13,0.006302957984670645,-0.0009460656529171775,0.0009460656529171775,8.950402196296054e-07,0,1,36
2015-04-14,0.003900718160324031,-0.008404344275390404,0.008404344275390404,7.063300269928746e-05,0,1,36
2015-04-15,0.006495276854501551,0.0004206099802452681,0.0004206099802452681,1.7691275548192482e-07,1,0,36
2015-04-16,0.01362043065487021,-0.010714841611712933,0.010714841611712933,0.00011480783076409501,0,1,36
2015-04-17,0.008199251960248717,-0.022594776988507752,0.022594776988507752,0.0005105239471603994,0,1,36
2015-04-20,0.008175609287600706,0.014474561089659508,0.014474561089659508,0.00020951291873828504,1,0,36
2015-04-21,0.008299680505226467,0.002483600746421306,0.002483600746421306,6.168272667624469e-06,1,0,36
2015-04-22,0.008799531281305478,-0.007289827754623967,0.007289827754623967,5.314158869208591e-05,0,1,36
2015-04-23,0.005958236102936102,-0.01085498341085777,0.01085498341085777,0.00011783066484999739,0,1,36
2015-04-24,0.008348277138162928,0.006395308887604469,0.006395308887604469,4.089997576787271e-05,1,0,36
2015-04-27,0.009924922572731535,0.016175943821452692,0.016175943821452692,0.0002616611585147935,1,0,36
2015-04-28,0.010519614112029405,-0.021677242255461204,0.021677242255461204,0.00046990283180195274,0,1,36
2015-04-29,0.00739939863533727,-0.03281217548820232,0.03281217548820232,0.001076638860268585,0,1,36
2015-04-30,0.010084619301949593,0.0020346954471168657,0.0020346954471168657,4.139985562518102e-06,1,0,36
2015-05-04,0.009322633017268371,0.012874644376899147,0.012874644376899147,0.0001657564678316208,1,0,36
2015-05-05,0.008532133020106055,-0.023400198544960893,0.023400198544960893,0.0005475692919435899,0,1,36
2015-05-06,0.007384848126603249,0.00019806778538073485,0.00019806778538073485,3.9230847605628845e-08,1,0,36
2015-05-07,0.010481403696949384,0.011029683538213217,0.011029683538213217,0.00012165391895313163,1,0,36
2015-05-08,0.009803834365091933,0.024362539980658866,0.024362539980658866,0.0005935333543092017,1,0,36
2015-05-11,0.0069722307429500325,-0.0006770577047972211,0.0006770577047972211,4.58407135625281e-07,0,1,36
2015-05-12,0.009458527893876752,-0.014603456958553588,0.014603456958553588,0.0002132609551403272,0,1,36
2015-05-13,0.007212303807924815,-0.008534368540013621,0.008534368540013621,7.283544637677422e-05,0,1,36
2015-05-14,0.0056065884348915325,0.015944198747471536,0.015944198747471536,0.0002542174736988729,1,0,36
2015-05-15,0.0068288513086590015,-0.005833194187947848,0.005833194187947848,3.402615443430856e-05,0,1,36
