Date,CSAD,Rm,abs_Rm,Rm_sq,D_up,D_down,N
2015-01-05,0.012716566959831716,-0.014208728704514045,0.014208728704514045,0.00020188797139848136,0,1,90
2015-01-06,0.010299233526679559,-0.009411002265278405,0.009411002265278405,8.856696363707527e-05,0,1,90
2015-01-07,0.006584513012915253,0.007024940816558169,0.007024940816558169,4.934979347614495e-05,1,0,90
2015-01-08,0.012482664815418014,0.019981502521347387,0.019981502521347387,0.000399260443010612,1,0,90
2015-01-09,0.010713400948672071,-0.008420734489950107,0.008420734489950107,7.09087693502353e-05,0,1,90
2015-01-12,0.010410383690504196,-0.001405787189813205,0.001405787189813205,1.976237623042908e-06,0,1,90
2015-01-13,0.010450279350644607,0.008195992627113936,0.008195992627113936,6.7174295143706e-05,1,0,90
2015-01-14,0.01206245453166787,-0.019658060249693538,0.019658060249693538,0.00038643933278058117,0,1,90
2015-01-15,0.011834401826166555,0.011107757166648993,0.011107757166648993,0.00012338226927324206,1,0,90
2015-01-16,0.01026570676894353,0.005339425104384958,0.005339425104384958,2.8509460445336323e-05,1,0,90
2015-01-19,0.0067661070994240536,0.008169658222864137,0.008169658222864137,6.67433154784116e-05,1,0,90
2015-01-20,0.010277874042375457,0.004594976220427847,0.004594976220427847,2.111380646629738e-05,1,0,90
2015-01-21,0.009379956573002064,0.009829575806554995,0.009829575806554995,9.662056053681128e-05,1,0,90
2015-01-22,0.010604891893054245,0.011125797322724146,0.011125797322724146,0.00012378336606633578,1,0,90
2015-01-23,0.011358454332480271,0.00413034507592773,0.00413034507592773,1.7059750446240445e-05,1,0,90
2015-01-26,0.007672075858747741,0.002895850201149508,0.002895850201149508,8.385948387497644e-06,1,0,90
2015-01-27,0.00925638932438898,-0.005086323912042262,0.005086323912042262,2.5870690938212902e-05,0,1,90
2015-01-28,0.009906939849101192,0.003961648583129949,0.003961648583129949,1.569465949621553e-05,1,0,90
2015-01-29,0.010960353546098844,4.9330824440384706e-05,4.9330824440384706e-05,2.433530239968057e-09,1,0,90
2015-01-30,0.00811847971259393,-0.0076759414655442814,0.0076759414655442814,5.892007738246209e-05,0,1,90
2015-02-02,0.009692302622659901,0.0015341578590010476,0.0015341578590010476,2.353640336334678e-06,1,0,90
2015-02-03,0.01390349196706464,0.012266514648009156,0.012266514648009156,0.0001504673816098232,1,0,90
2015-02-04,0.0076527262769413434,-0.00031986354197749043,0.00031986354197749043,1.0231268548638578e-07,0,1,90
2015-02-05,0.010020473971704167,0.0015628184822333317,0.0015628184822333317,2.4424016084100944e-06,1,0,90
2015-02-06,0.008236950240936451,0.0005964239687628284,0.0005964239687628284,3.5572155051480335e-07,1,0,90
