Date,EMBI_Global,EMBI_LATINO,EMBI_ARG,EMBI_BRA,EMBI_CHL,EMBI_COL,EMBI_ECU,EMBI_MEX,EMBI_PER,EMBI_PAN,EMBI_URY,EMBI_VEN
2015-01-02,4.10112,4.05839,7.25781,2.75192,1.70239,2.02311,8.87471,2.1827,1.87626,1.90205,2.13259,24.73138
2015-01-05,4.31736,4.2735,7.50299,2.91224,1.77116,2.2136,9.9378,2.32631,1.95851,2.05241,2.25574,27.76036
2015-01-06,4.46203,4.37352,7.66479,2.9976,1.78475,2.27225,10.09757,2.37482,2.01065,2.11886,2.3323,29.72303
2015-01-07,4.39299,4.29222,7.48691,2.96334,1.75566,2.20702,9.76642,2.31413,1.97353,2.10804,2.29983,28.10861
2015-01-08,4.27416,4.2183,7.3425,2.90446,1.72377,2.1534,9.46869,2.25927,1.91595,2.04048,2.25443,27.44365
2015-01-09,4.35572,4.26426,7.26157,2.94074,1.76684,2.20027,9.48874,2.29342,1.94453,2.06727,2.31573,27.9662
2015-01-12,4.46583,4.37476,7.36253,3.05683,1.78098,2.31008,9.86067,2.36933,2.02465,2.15407,2.40414,29.23656
2015-01-13,4.49292,4.40564,7.28581,3.05351,1.82158,2.34952,9.93088,2.38969,2.03794,2.17678,2.42191,30.17378
2015-01-14,4.51755,4.465,7.29921,3.07414,1.93911,2.39982,9.86332,2.42738,2.06343,2.19205,2.43336,31.67369
2015-01-15,4.54836,4.51135,7.41137,3.08519,1.99733,2.45114,9.63455,2.53711,2.12009,2.24867,2.46501,31.57526
2015-01-16,4.51756,4.49561,7.31147,3.07156,1.99452,2.41971,9.52846,2.56827,2.09371,2.22467,2.454,32.45506
2015-01-20,4.53467,4.47935,7.19815,3.02241,1.94211,2.41421,9.53295,2.55033,2.08291,2.20302,2.41125,33.69653
2015-01-21,4.50363,4.44501,7.20499,2.99742,1.89069,2.41513,9.19586,2.49727,2.05984,2.13175,2.3447,34.16085
2015-01-22,4.47647,4.39605,7.10067,2.96664,1.86837,2.37751,9.17802,2.46352,2.00478,2.07046,2.27844,33.99424
2015-01-23,4.41248,4.36698,7.25627,2.9355,1.8667,2.3043,8.97058,2.43849,1.99273,2.06118,2.27231,33.01976
2015-01-26,4.42854,4.35472,7.26406,2.93047,1.86072,2.31425,8.9343,2.42794,1.98258,2.03244,2.24746,32.7576
2015-01-27,4.43264,4.36241,7.23571,2.92019,1.87329,2.30527,9.35235,2.4151,2.04417,2.00108,2.22424,32.78695
2015-01-28,4.52506,4.43601,7.30217,3.04506,1.99144,2.38298,9.0927,2.55251,2.09964,2.08542,2.27509,32.17842
2015-01-29,4.48046,4.36791,7.27699,3.01611,1.93536,2.3188,8.99267,2.47926,2.01645,1.99275,2.16583,32.34239
