country,year,Rule_of_Law,Regulatory_Quality,Govt_Effectiveness,Control_of_Corruption,Political_Stability,Voice_Accountability,MktCap_GDP_pct,Portfolio_Inflows_USD,GDP_USD,country_name
BRA,2000,-0.366494999999999,0.0857225,-0.161961,0.1106033,0.3964531,0.2885598,34.5034609982803,3075913756.64062,655448188259.351,Brasil
BRA,2001,,,,,,,33.2576838644364,2481200940.0,559983704094.17,Brasil
BRA,2002,-0.3005311,0.0920433,-0.0536477,0.0977714,0.3357229,0.4840152,24.8651835921558,1980742540.0,509795270685.19,Brasil
BRA,2003,-0.387330099999999,0.188343,-0.117771199999999,0.0538006,0.1101752,0.489488,42.0182496768668,2972604810.0,558233724164.711,Brasil
BRA,2004,-0.2921475,0.0364364,-0.217134399999999,-0.104169299999999,-0.2198219,0.4728434,49.3578142021198,2080933160.0,669289321944.512,Brasil
BRA,2005,-0.3517713,0.0948275,-0.3449277,-0.247161599999999,-0.1740759,0.5823979,53.2333863775009,6451252310.0,891633826625.407,Brasil
BRA,2006,-0.3073782,0.0008242,-0.378799,-0.213272599999999,-0.2563589,0.6050008,64.1233587852083,7715813474.50957,1107626711163.23,Brasil
BRA,2007,-0.3124145,-0.0432525999999999,-0.3870143,-0.2877377,-0.2225111,0.5861992,98.0386015500143,26217335943.55,1397114247188.89,Brasil
BRA,2008,-0.247276299999999,0.1558475,-0.1188332,-0.0919325,-0.173844299999999,0.6354814,34.906605414413,-7565367449.97137,1695855391757.96,Brasil
BRA,2009,-0.2053216,0.1497206,-0.0252664999999999,-0.0402027,0.1161689,0.5739753,80.2189953637506,37071238200.0,1666996294252.12,Brasil
BRA,2010,-0.0413875,0.1900322,-0.0076855,-0.0150966,-0.1493446,0.6301767,69.9718849499809,37671282921.22,2208838108484.35,Brasil
BRA,2011,-0.0747892,0.1885087,-0.0357455,0.2097513,-0.1721799,0.5275116,46.974872486969,7173947294.34,2616156606579.21,Brasil
BRA,2012,-0.0446889,0.1894102,-0.0055523,-0.0113872,-0.0995934,0.5532977,49.7903996612963,5601757311.4,2465228293706.86,Brasil
BRA,2013,-0.134532999999999,0.1300154,0.1384625,-0.0608636,-0.3656427,0.4259615,41.2668772197179,11126371480.21,2472819362043.74,Brasil
BRA,2014,-0.1419913,-0.0364999,-0.0203333,-0.2351787,-0.2414052,0.4250488,34.3599007343126,11492921645.8,2456043766032.38,Brasil
BRA,2015,-0.225204699999999,-0.0963301999999999,-0.1018264,-0.3512683,-0.4959054,0.461258,27.2184465616673,9786874386.37,1802211999456.42,Brasil
BRA,2016,-0.1485678,-0.0962291,-0.100539499999999,-0.366817699999999,-0.5263958,0.4599637,42.243234543327,11039830849.63,1795693265999.04,Brasil
BRA,2017,-0.2808179,-0.106341399999999,-0.1049895,-0.4693688,-0.602133799999999,0.4292352,46.2664552464381,5673535220.18999,2063514688805.78,Brasil
BRA,2018,-0.4015041,-0.244291999999999,-0.206420599999999,-0.407628,-0.645190399999999,0.2933228,47.827652359865,-2953215824.16,1916933708352.71,Brasil
