country,year,MktCap_GDP_pct,Portfolio_Inflows_USD,GDP_USD
BRA,2000,34.5034609982803,3075913756.64062,655448188259.351
BRA,2001,33.2576838644364,2481200940.0,559983704094.17
BRA,2002,24.8651835921558,1980742540.0,509795270685.19
BRA,2003,42.0182496768668,2972604810.0,558233724164.711
BRA,2004,49.3578142021198,2080933160.0,669289321944.512
BRA,2005,53.2333863775009,6451252310.0,891633826625.407
BRA,2006,64.1233587852083,7715813474.50957,1107626711163.23
BRA,2007,98.0386015500143,26217335943.55,1397114247188.89
BRA,2008,34.906605414413,-7565367449.97137,1695855391757.96
BRA,2009,80.2189953637506,37071238200.0,1666996294252.12
BRA,2010,69.9718849499809,37671282921.22,2208838108484.35
BRA,2011,46.974872486969,7173947294.34,2616156606579.21
BRA,2012,49.7903996612963,5601757311.4,2465228293706.86
BRA,2013,41.2668772197179,11126371480.21,2472819362043.74
BRA,2014,34.3599007343126,11492921645.8,2456043766032.38
BRA,2015,27.2184465616673,9786874386.37,1802211999456.42
BRA,2016,42.243234543327,11039830849.63,1795693265999.04
BRA,2017,46.2664552464381,5673535220.18999,2063514688805.78
BRA,2018,47.827652359865,-2953215824.16,1916933708352.71
BRA,2019,63.3838250884009,-1809748191.07,1873288158838.63
BRA,2020,66.9581625438007,-5206084618.91,1476107292151.95
BRA,2021,48.8359583664535,7593798086.89999,1670647464062.96
BRA,2022,40.6992264217543,11452732157.19,1951923832083.87
BRA,2023,45.2367958179069,834210216.59,2191131869706.02
BRA,2024,30.1448139796022,-17512844211.93,2185821648943.86
CHN,2000,,6912000000.0,1223754919971.05
CHN,2001,,849000000.0,1355036590251.52
CHN,2002,,2249000000.0,1489821682050.54
CHN,2003,30.4636713403437,7729000000.0,1683903309843.85
CHN,2004,22.5643099574266,10923200000.0,1984196551300.44
CHN,2005,17.3395191009478,20569000000.0,2317551298052.05
CHN,2006,41.033691444197,42861200000.0,2791498472804.33
CHN,2007,124.272951099968,18478120465.0191,3604055822571.63
CHN,2008,38.1112495628245,8464027990.96817,4667346414521.95
CHN,2009,68.8524786238225,29116669021.7512,5189577094997.58
CHN,2010,65.0431667921056,31357093655.533,6192564874453.29
CHN,2011,44.4762288163661,5308427622.574,7671757207851.29
CHN,2012,42.6276108457102,29902702074.1387,8673664713189.24
CHN,2013,40.5326196174462,32594970774.1324,9743124247267.24
CHN,2014,56.2548972900922,51915788939.8445,10674533168257.4
CHN,2015,72.5835808340326,14964496565.6,11280814787468.9
CHN,2016,63.9029590501553,23416073023.423,11456024084962.0
CHN,2017,69.4813653656583,36208879301.31,12537559062282.9
CHN,2018,44.7058557619521,60667928466.48,14147765772963.8
CHN,2019,58.8558640185154,44906049116.09,14560167101283.4
CHN,2020,81.8646786726428,80334733544.4,14996414166715.1
CHN,2021,79.3192238397069,82900846960.64,18201698719564.0
CHN,2022,62.6166578891979,38464324948.92,18316765021690.2
CHN,2023,59.8556765846528,11291258950.41,18270356654533.2
CHN,2024,62.7181039133864,-20236688840.51,18743803170827.2
DEU,2000,64.5783239896819,-27954347360.9921,1966980701145.1
DEU,2001,54.5036012508445,76890620967.9197,1966381496641.73
DEU,2002,32.6307836233992,13823426043.9609,2102350798305.89
DEU,2003,42.5699149347862,25249417533.9526,2534715518349.01
DEU,2004,41.8788117991391,-7881311243.18104,2852317768061.78
DEU,2005,41.5476294494245,22064839908.3239,2893393187361.87
DEU,2006,53.7571829522138,35648298963.8876,3046308753670.58
DEU,2007,60.423753481629,76962834218.9175,3484056680854.91
DEU,2008,29.1628668367447,-68625797941.1023,3808197720125.0
DEU,2009,37.1521747753963,20837407671.2393,3478545516683.59
DEU,2010,41.2368151824591,4762461883.98264,3467093769666.67
DEU,2011,30.978859078058,-5501286728.9299,3823575803793.78
DEU,2012,41.3268938999697,-2528212392.54079,3596483233406.25
DEU,2013,50.8561638490348,15293848772.652,3807023797050.99
DEU,2014,43.8485684872249,2688987138.64616,3964870735760.77
DEU,2015,50.0949082078409,20854937638.7276,3425099578746.09
DEU,2016,48.5197743240464,-8195206605.90619,3536787895179.0
DEU,2017,60.079981755637,-4039382213.62282,3765351626105.89
DEU,2018,43.2795387525403,-43162890335.5035,4055433215301.96
DEU,2019,52.9855978284666,-13244525796.6448,3959894794039.21
DEU,2020,57.9517289387954,-17659244079.4221,3941398957073.94
DEU,2021,57.4718950080433,-7214361527.12912,4355251953410.78
DEU,2022,44.9810563246043,-10744584569.2912,4201021706478.62
